fold,a_s_m2
2020,642205.065600
2020,518477.843140
2020,318657.427200
2020,227951.307204
2020,506203.739754
2020,347079.499722
2020,112982.410969
2020,350518.316776
2020,498782.128985
2020,-557033.813628
2020,-345254.836854
2020,320569.463358
2020,281670.404400
2020,164234.154290
2020,580063.356000
2020,388215.877730
2020,260175.980707
2020,1016482.644450
2020,618329.668645
2020,317705.299359
2020,-499813.756040
2020,219228.712350
2020,344621.746961
2020,-796525.327767
2020,279885.272486
2020,746606.451332
2020,309445.817540
2020,130560.365065
2020,374981.863485
2020,255496.631863
2020,624619.091832
2020,628538.394648
2020,301749.073920
2020,289552.482367
2020,663835.391358
2020,302307.368604
2020,146450.640884
2020,1042192.296464
2020,38332.317701
2020,323259.700874
2020,-1424843.263475
2020,558115.012800
2020,219054.474152
2020,456237.691436
2020,133415.256482
2020,483293.910071
2020,-2215251.383442
2020,775865.010029
2020,33808.628035
2020,219594.002998
2020,553952.874393
2020,190318.513371
2020,384741.545506
2020,120805.108507
2020,262015.454574
2020,908112.699900
2020,490261.868333
2020,364906.532755
2020,159125.488200
2020,383189.881739
2020,71995.745246
2020,151643.098473
2020,223725.912540
2020,442134.666111
2020,797533.481331
2020,361346.374080
2020,-1508875.433856
2020,240885.019320
2020,419724.480921
2020,337957.284542
2020,313467.363138
2020,259630.935220
2020,313547.760000
2020,650008.625538
2020,295262.974838
2020,435135.880460
2020,843348.459927
2020,295321.962546
2020,-414436.362776
2020,59733.036894
2020,1077464.120727
2020,409885.309260
2020,447018.918902
2020,389768.645426
2020,356023.953786
2020,316934.075808
2020,605082.125398
2020,316879.204950
2020,402595.323840
2020,191667.709925
2020,-857553.123600
2020,347921.884800
2020,379063.651067
2020,569486.344896
2020,221514.239556
2020,570656.923200
2020,555937.076263
2020,404682.590680
2020,457646.305021
2020,605062.434162
2020,350329.324154
2020,283023.384460
2020,598954.787098
2020,180847.771685
2020,219901.495680
2020,498100.416754
2020,252299.401445
2020,-437239.781256
2020,298283.062111
2020,629080.570567
2020,306711.611413
2020,416730.987920
2020,174644.756621
2020,514630.889242
2020,336726.480486
2020,733952.596608
2020,245879.778307
2020,293028.372165
2020,720829.797726
2020,526760.236800
2020,-2097958.874152
2020,207998.833814
2021,599804.322970
2021,565478.100647
2021,474523.179984
2021,-615883.812218
2021,323893.064624
2021,296033.092143
2021,366565.835782
2021,613442.301084
2021,257919.286599
2021,139932.668437
2021,120061.797902
2021,278803.278486
2021,357743.063314
2021,961106.396968
2021,201650.403150
2021,616275.048282
2021,295189.311443
2021,88833.226623
2021,168412.968056
2021,195366.280183
2021,386111.670171
2021,559119.973569
2021,139481.245964
2021,670851.602023
2021,1218572.014464
2021,-638527.953711
2021,294054.911306
2021,727709.512320
2021,223044.282086
2021,281481.844751
2021,398205.655200
2021,156099.898834
2021,2000042.774100
2021,264649.857263
2021,392838.142698
2021,506134.082949
2021,516895.812890
2021,-1259941.964769
2021,709313.811338
2021,209523.679624
2021,594919.308974
2021,209328.228430
2021,194803.320762
2021,427866.552497
2021,359416.100437
2021,701805.048000
2021,456458.263945
2021,725983.659692
2021,1940695.609263
2021,192188.697508
2021,1766841.627600
2021,538664.422942
2021,644691.633099
2021,226905.577043
2021,209107.851578
2021,258005.013943
2021,587924.340125
2021,331725.592162
2021,510977.158544
2021,324977.081574
2021,395153.158104
2021,209493.151647
2021,92742.059785
2021,233009.736530
2021,631030.958161
2021,229026.189913
2021,-99765.196364
2021,770147.804958
2021,74912.491849
2021,259238.921570
2021,124674.607036
2021,436384.705976
2021,354486.448664
2021,413943.632139
2021,339773.280810
2021,232533.798227
2021,487658.986729
2021,297260.941143
2021,453300.475886
2021,279989.675416
2021,853686.034560
2021,399729.602413
2021,375529.072041
2021,400086.941760
2021,447449.315478
2021,325403.925659
2021,291926.429801
2021,265375.422327
2021,493360.584104
2021,661934.160000
2021,450760.003630
2021,397602.678738
2021,840895.898850
2021,556390.500120
2021,433522.313749
2021,-613398.433642
2021,431414.745910
2021,194134.641262
2021,367381.498486
2021,547056.554168
2021,623558.058092
2021,181160.928000
2021,704297.946240
2021,358788.222514
2021,96024.001500
2021,359404.119900
2021,500780.565257
2021,262988.183700
2021,426953.034038
2021,667229.633280
2021,608282.654400
2021,385205.753690
2021,357926.827569
2021,624530.129236
2021,238428.317709
2021,211453.550341
2021,182190.671873
2021,419659.607741
2021,257893.032600
2021,429212.044800
2021,431095.734025
2021,508992.530400
2021,601929.725929
2021,218455.750379
2021,200067.589938
2021,572282.726400
2021,400191.457680
2021,919520.062484
2021,99586.512430
2021,514488.044903
