date,n,complete,kappa_median_m,kappa_q25_m,kappa_q75_m
2019-03-12,95,0,5.646689,5.644100,5.649227
2019-03-13,96,1,5.646036,5.643977,5.649954
2019-03-14,96,1,5.648016,5.644353,5.652053
2019-03-15,96,1,5.647759,5.644614,5.651275
2019-03-16,96,1,5.646863,5.643647,5.650888
2019-03-17,96,1,5.645292,5.640680,5.650205
2019-03-18,96,1,5.647327,5.641937,5.651336
2019-03-19,96,1,5.647882,5.645780,5.652750
2019-03-20,96,1,5.646761,5.643355,5.651948
2019-03-21,96,1,5.646510,5.642795,5.651070
2019-03-22,96,1,5.648472,5.642233,5.653296
2019-03-23,96,1,5.649751,5.645055,5.652430
2019-03-24,96,1,5.646285,5.640142,5.654229
2019-03-25,96,1,5.646091,5.641835,5.653425
2019-03-26,92,0,5.647120,5.643994,5.650255
2019-03-27,96,1,5.648576,5.643599,5.652638
2019-03-28,96,1,5.648455,5.645129,5.650721
2019-03-29,94,0,5.646917,5.644727,5.650699
2019-03-30,96,1,5.646955,5.645672,5.648652
2019-03-31,96,1,5.647344,5.646033,5.649694
2019-04-01,96,1,5.648079,5.644659,5.650664
2019-04-02,96,1,5.647492,5.645487,5.650236
2019-04-03,96,1,5.646783,5.645384,5.648934
2019-04-04,96,1,5.647300,5.645887,5.649697
2019-04-05,96,1,5.647160,5.644543,5.649231
2019-04-06,96,1,5.648969,5.646520,5.650128
2019-04-07,96,1,5.647699,5.644815,5.650274
2019-04-08,96,1,5.648049,5.645473,5.649904
2019-04-09,96,1,5.647585,5.645807,5.649167
2019-04-10,96,1,5.647213,5.645807,5.649011
2019-04-11,96,1,5.647817,5.645471,5.649570
2019-04-12,96,1,5.647645,5.646353,5.648327
2019-04-13,96,1,5.646812,5.644529,5.649689
2019-04-14,96,1,5.650393,5.648737,5.650489
2019-04-15,96,1,5.647071,5.643455,5.649685
2019-04-16,96,1,5.647767,5.646289,5.649871
2019-04-17,96,1,5.647455,5.645769,5.649166
2019-04-18,96,1,5.649477,5.645969,5.650394
2019-04-19,96,1,5.647910,5.645931,5.649251
2019-04-20,96,1,5.647342,5.645523,5.649460
2019-04-21,96,1,5.647137,5.643600,5.650749
2019-04-22,95,0,5.647307,5.644784,5.649000
2019-04-23,92,0,5.647396,5.645661,5.649008
2019-04-24,96,1,5.648559,5.646935,5.648909
2019-04-25,96,1,5.648045,5.645721,5.649310
